time,type,text,avc_Vehicle.lane_id,avc_Vehicle.vehicle_id,avc_Vehicle.speed,avc_Vehicle.vehicle_class,avc_Vehicle.vehicle_class_ai,avc_Vehicle.length,avc_Vehicle.confidence,avc_Vehicle.detector_type,source.id
2025-03-01T08:10:13.562000+02:00,avc_VehicleEvent,Vehicle detected,8,1451796,15.8,1,Bicycle,1.8,10,flircam,97869098849
2025-03-01T08:10:19.568000+02:00,avc_VehicleEvent,Vehicle detected,2,1451798,28.5,1,Car,5,10,flircam,97869098849
2025-03-01T08:10:45.595000+02:00,avc_VehicleEvent,Vehicle detected,2,1451799,35.4,1,Car,5,10,flircam,97869098849
2025-03-01T08:10:50.133000+02:00,avc_VehicleEvent,Vehicle detected,2,1451800,28.7,2,Bus,15,10,flircam,97869098849
2025-03-01T08:10:53.070000+02:00,avc_VehicleEvent,Vehicle detected,2,1451801,34.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:11:07.216000+02:00,avc_VehicleEvent,Vehicle detected,2,1451802,25,1,Car,5,10,flircam,97869098849
2025-03-01T08:11:23.565000+02:00,avc_VehicleEvent,Vehicle detected,2,1451805,28.6,1,Car,5,10,flircam,97869098849
2025-03-01T08:11:43.989000+02:00,avc_VehicleEvent,Vehicle detected,2,1451806,34.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:12:28.031000+02:00,avc_VehicleEvent,Vehicle detected,2,1451807,22.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:12:31.633000+02:00,avc_VehicleEvent,Vehicle detected,2,1451808,25.7,1,Car,5,10,flircam,97869098849
2025-03-01T08:12:53.187000+02:00,avc_VehicleEvent,Vehicle detected,2,1451809,18.6,2,Bus,15,10,flircam,97869098849
2025-03-01T08:12:55.191000+02:00,avc_VehicleEvent,Vehicle detected,2,1451810,24.7,1,Car,5,10,flircam,97869098849
2025-03-01T08:14:22.543000+02:00,avc_VehicleEvent,Vehicle detected,2,1451813,41.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:14:25.079000+02:00,avc_VehicleEvent,Vehicle detected,2,1451814,36.4,1,Car,5,8,flircam,97869098849
2025-03-01T08:14:56.645000+02:00,avc_VehicleEvent,Vehicle detected,2,1451815,30.9,2,LargeTruck,12,9,flircam,97869098849
2025-03-01T08:15:15.731000+02:00,avc_VehicleEvent,Vehicle detected,2,1451816,23.2,1,Car,5,10,flircam,97869098849
2025-03-01T08:15:16.330000+02:00,avc_VehicleEvent,Vehicle detected,2,1451817,25.8,1,Car,5,8,flircam,97869098849
2025-03-01T08:15:17.599000+02:00,avc_VehicleEvent,Vehicle detected,2,1451818,29.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:15:31.479000+02:00,avc_VehicleEvent,Vehicle detected,2,1451819,29.3,1,Car,5,10,flircam,97869098849
2025-03-01T08:15:45.597000+02:00,avc_VehicleEvent,Vehicle detected,2,1451820,38.9,1,Car,5,10,flircam,97869098849
2025-03-01T08:16:11.420000+02:00,avc_VehicleEvent,Vehicle detected,2,1451821,24.4,1,Car,5,10,flircam,97869098849
2025-03-01T08:16:13.188000+02:00,avc_VehicleEvent,Vehicle detected,2,1451822,27.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:16:24.531000+02:00,avc_VehicleEvent,Vehicle detected,2,1451823,31.5,1,Car,5,10,flircam,97869098849
2025-03-01T08:16:28.602000+02:00,avc_VehicleEvent,Vehicle detected,2,1451824,27.4,2,Van,6,8,flircam,97869098849
