time,type,text,avc_Pedestrian.lane_id,avc_Pedestrian.pedestrian_id,avc_Pedestrian.speed,avc_Pedestrian.confidence,avc_Pedestrian.detector_type,source.id
2025-03-01T00:31:37.843000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1394522,5.9,10,flircam,2
2025-03-01T00:34:11.330000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1394531,5.3,9,flircam,2
2025-03-01T00:35:10.024000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1394534,3.6,10,flircam,2
2025-03-01T00:40:26.906000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1394546,5,10,flircam,2
2025-03-01T00:47:26.795000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1394564,5.5,10,flircam,2
2025-03-01T00:51:16.529000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1394579,5,10,flircam,2
2025-03-01T00:51:17.797000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1394581,4.7,10,flircam,2
2025-03-01T00:51:18.260000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1394584,6.2,10,flircam,2
2025-03-01T00:54:03.726000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1394589,5.9,10,flircam,2
2025-03-01T01:05:09.894000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1394618,5.8,10,flircam,2
2025-03-01T08:03:32.146000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1395446,4.3,10,flircam,2
2025-03-01T08:04:47.287000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1395452,5.8,10,flircam,2
2025-03-01T08:07:37.526000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395464,5.7,10,flircam,2
2025-03-01T08:11:06.734000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395485,5.9,10,flircam,2
2025-03-01T08:23:03.218000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1395521,5.6,10,flircam,2
2025-03-01T08:24:47.722000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395526,5.8,10,flircam,2
2025-03-01T08:46:25.557000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395644,5.4,10,flircam,2
2025-03-01T08:47:05.531000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395650,5.7,10,flircam,2
2025-03-01T08:48:17.836000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1395663,4.3,10,flircam,2
2025-03-01T08:49:40.252000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395673,6.6,9,flircam,2
2025-03-01T08:50:47.252000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1395681,5.4,10,flircam,2
2025-03-01T08:52:23.552000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1395689,5.4,10,flircam,2
2025-03-01T08:53:29.848000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1395703,5.4,10,flircam,2
2025-03-01T08:57:35.897000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1395738,4.8,10,flircam,2
2025-03-01T10:12:15.152000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1396559,5.5,10,flircam,2
2025-03-01T10:12:33.937000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396563,5.7,9,flircam,2
2025-03-01T10:13:08.842000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396572,5.9,10,flircam,2
2025-03-01T10:13:09.908000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396574,4.7,9,flircam,2
2025-03-01T10:13:55.919000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1396590,6.5,10,flircam,2
2025-03-01T10:14:17.940000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1396592,3.7,10,flircam,2
2025-03-01T10:15:26.543000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1396607,4.9,10,flircam,2
2025-03-01T10:16:59.105000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396626,3,10,flircam,2
2025-03-01T10:18:11.108000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396634,5.2,10,flircam,2
2025-03-01T10:18:11.175000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1396636,5.1,10,flircam,2
2025-03-01T11:28:32.008000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1397696,9.7,10,flircam,2
2025-03-01T11:29:01.572000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397702,5.1,10,flircam,2
2025-03-01T11:29:01.838000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1397704,5.2,10,flircam,2
2025-03-01T11:29:05.842000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1397706,4.9,10,flircam,2
2025-03-01T11:29:09.310000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397708,5.6,10,flircam,2
2025-03-01T11:29:18.453000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1397710,5.4,10,flircam,2
2025-03-01T11:29:28.397000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1397714,5.8,10,flircam,2
2025-03-01T11:30:37.399000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1397734,6.7,10,flircam,2
2025-03-01T11:30:45.139000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397737,5.4,10,flircam,2
2025-03-01T11:31:36.592000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1397750,6.4,10,flircam,2
2025-03-01T11:31:43.732000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1397755,11.1,10,flircam,2
2025-03-01T11:32:52.268000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1397773,4.8,10,flircam,2
2025-03-01T11:32:53.270000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397775,5.8,10,flircam,2
2025-03-01T11:32:53.537000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397777,3.4,10,flircam,2
2025-03-01T11:33:38.947000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397792,5.4,10,flircam,2
